record_kind,stable_identity_key,governed_product_key,governed_ledger_id,product_title,product_title_state,woo_product_title,variant_title,pack_quantity,weight,unit,weight_basis,woo_weight_kg,price,compare_at_price,gst_inclusive_state,inventory_policy,quantity_snapshot,quantity_snapshot_state,availability_state,sku,sku_state,imagery_state,copy_state,target_publication_state,source_product_id,source_record_id,export_date,export_date_state,source_file_sha256,shopify_product_id,shopify_live_title,shopify_live_status,shopify_live_inventory_state,shopify_live_variant_count,product_disposition,disposition_fact
variant,MM24-N16-P2440-V2440,MM24-N16,N16,Spiced Carob,confirmed by later email heading; Carli confirmation still flagged,Spiced Carob Elixir (150g) (A Caffeine Free Alternative),(simple product; no Woo option),1,150,g,Woo Name-declared net weight; Woo Weight (kg) is blank,,26.95,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,approved; matched re-export required,Carli later title/description wins,published,2440,2440,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708835672261,Spiced Carob Elixir,Draft,0 in stock for 2 variants,2,UPDATE,Live Shopify product 8708835672261 matches governed N16; UPDATE required (0 in stock for 2 variants; Woo mapping present).
variant,MM24-B04-P2416-V3005,MM24-B04,B04,GAP — exact title absent; required identity: Coconut and Goji,GAP — Carli title required,Organic Vegan Coconut Flakes & Goji Berries Carob Bar (90g),1 BAR,1,90,g,task-verified Bars 90g ladder; Woo Name agrees,,12.95,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,2416,3005,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708819681477,Goji & Coconut Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708819681477 matches governed B04; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-B04-P2416-V3006,MM24-B04,B04,GAP — exact title absent; required identity: Coconut and Goji,GAP — Carli title required,Organic Vegan Coconut Flakes & Goji Berries Carob Bar (90g),2 BARS,2,90,g,task-verified Bars 90g ladder; Woo Name agrees,,25.25,25.9,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,2416,3006,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708819681477,Goji & Coconut Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708819681477 matches governed B04; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-B04-P2416-V3007,MM24-B04,B04,GAP — exact title absent; required identity: Coconut and Goji,GAP — Carli title required,Organic Vegan Coconut Flakes & Goji Berries Carob Bar (90g),5 BARS,5,90,g,task-verified Bars 90g ladder; Woo Name agrees,,61.51,64.75,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed; exact title absent,published,2416,3007,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708819681477,Goji & Coconut Bar,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708819681477 matches governed B04; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-N04-P2395-V3026,MM24-N04,N04,Goji and Coconut Moon,confirmed — Carli/Canva,Organic Vegan Coconut Flakes & Goji Berries Carob Crescent Moon (12g),1 MOON,1,12,g,task-verified Crescent Moons 12g ladder; Woo Name agrees,,2.5,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2395,3026,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708830003397,Coconut & Goji Moons,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708830003397 matches governed N04; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-N04-P2395-V3027,MM24-N04,N04,Goji and Coconut Moon,confirmed — Carli/Canva,Organic Vegan Coconut Flakes & Goji Berries Carob Crescent Moon (12g),5 MOONS,5,12,g,task-verified Crescent Moons 12g ladder; Woo Name agrees,,12.19,12.5,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2395,3027,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708830003397,Coconut & Goji Moons,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708830003397 matches governed N04; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-N04-P2395-V3028,MM24-N04,N04,Goji and Coconut Moon,confirmed — Carli/Canva,Organic Vegan Coconut Flakes & Goji Berries Carob Crescent Moon (12g),10 MOONS,10,12,g,task-verified Crescent Moons 12g ladder; Woo Name agrees,,23.75,24.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,description confirmed,published,2395,3028,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708830003397,Coconut & Goji Moons,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708830003397 matches governed N04; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-N17-P2432-V3029,MM24-N17,N17,Bananas,confirmed by later email heading; Carli confirmation still flagged,Natural Vegan Carob Coated Bananas (20g),10 BANANAS,10,20,g,task-verified Carob Bananas 20g ladder; Woo Name agrees,,26.99,29.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later title/description wins,published,2432,3029,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708834623685,Carob Bananas,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708834623685 matches governed N17; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-N17-P2432-V3030,MM24-N17,N17,Bananas,confirmed by later email heading; Carli confirmation still flagged,Natural Vegan Carob Coated Bananas (20g),5 BANANAS,5,20,g,task-verified Carob Bananas 20g ladder; Woo Name agrees,,14.25,14.99,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later title/description wins,published,2432,3030,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708834623685,Carob Bananas,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708834623685 matches governed N17; UPDATE required (0 in stock for 3 variants; Woo mapping present).
variant,MM24-N17-P2432-V3031,MM24-N17,N17,Bananas,confirmed by later email heading; Carli confirmation still flagged,Natural Vegan Carob Coated Bananas (20g),1 BANANA,1,20,g,task-verified Carob Bananas 20g ladder; Woo Name agrees,,2.99,,GST-inclusive; taxable,deny,,GAP — Woo Stock is blank; do not convert blank to zero,in_stock,,GAP — Woo SKU blank; ask Carli before any scheme,unapproved,Carli later title/description wins,published,2432,3031,,GAP — no export-date column; file timestamp 2026-08-16T18:53:38+10:00 is not promoted to export date,eeea19fd89b30052bd4c4cf28519f56f1195e4595c92485fb186a66719e6b114,8708834623685,Carob Bananas,Active,0 in stock for 3 variants,3,UPDATE,Live Shopify product 8708834623685 matches governed N17; UPDATE required (0 in stock for 3 variants; Woo mapping present).
