asset_id,display_name,category,formats,current_pack_location,usage_note
MM-BRANDMARK-MOON-SUN,Moon/Sun Brandmark,Brand asset,SVG + transparent PNG,Back panel,Use as supplied; do not redraw or change proportions
MM-ICON-CAFFEINE-FREE,Caffeine Free,Front claim badge,SVG + transparent PNG,Front panel,Current bilingual Saudi Moon artwork
MM-ICON-ORGANIC-INGREDIENTS,Organic Ingredients,Front claim badge,SVG + transparent PNG,Front panel,Current bilingual Saudi Moon artwork
MM-ICON-MADE-IN-AUSTRALIA,Made in Australia,Front claim badge,SVG + transparent PNG,Front panel,Current bilingual Saudi Moon artwork
MM-ICON-VEGAN-FRIENDLY,Vegan Friendly,Front claim badge,SVG + transparent PNG,Front panel,Current bilingual Saudi Moon artwork
MM-ICON-GLUTEN-FREE,Gluten Free,Front claim badge,SVG + transparent PNG,Front panel,Current bilingual Saudi Moon artwork
MM-ICON-WITH-ONLY-2-INGREDIENTS,With Only 2 Ingredients,Back claim badge,SVG + transparent PNG,Back panel,SKU-specific; use only where the approved recipe has 2 ingredients
MM-ICON-WITH-ONLY-3-INGREDIENTS,With Only 3 Ingredients,Back claim badge,SVG + transparent PNG,Back panel,SKU-specific; use only where the approved recipe has 3 ingredients
MM-ICON-WITH-ONLY-4-INGREDIENTS,With Only 4 Ingredients,Back claim badge,SVG + transparent PNG,Back panel,SKU-specific; use only where the approved recipe has 4 ingredients
MM-ICON-ADDITIVE-FREE,Additive Free,Back claim badge,SVG + transparent PNG,Back panel,Current bilingual Saudi Moon artwork
MM-ICON-NO-ARTIFICIAL,No Artificial Flavours & Colours,Back claim badge,SVG + transparent PNG,Back panel,Current bilingual Saudi Moon artwork
MM-ICON-LESS-THAN-5G-SUGARS,Less Than 5g Natural Sugars,Back claim badge,SVG + transparent PNG,Back panel,Current bilingual Saudi Moon artwork
MM-LOGO-PRIMARY,Primary MapleMoon Logo,Brand asset,SVG + transparent PNG,Back panel,Use as supplied; do not redraw or change proportions
