Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Variant Weight Unit,Status
pecan-nut-eclipse-bite-50g,Pecan Nut Eclipse Bite (50g),"<p>Handmade &amp; handpackaged in Byron Bay using Organic, Vegan ingredients.</p><p><strong>Ingredients:</strong> Carob Powder*, Cacao Butter*, Medjool Dates*, Pecans*. (*=certified organic)</p><p><strong>Origin:</strong> Made in Australia from at least 45% Australian ingredients.</p><p><strong>Allergens:</strong> May contain traces of other nuts &amp; seeds.</p><p><strong>For Best Use:</strong> Store in a cool, dry, dark place between 15 and 22 degrees Celsius.</p>",Maple Moon Carob,"Food, Beverages & Tobacco > Food Items > Snack Foods",Eclipse Bites,"eclipse-bites,organic,vegan,carob",FALSE,Pack Size,1 Bite,,50,shopify,0,deny,manual,5.99,,TRUE,TRUE,,g,draft
pecan-nut-eclipse-bite-50g,,,,,,,,,6 Bites,,300,shopify,0,deny,manual,32.99,35.99,TRUE,TRUE,,g,
pecan-nut-eclipse-bite-50g,,,,,,,,,12 Bites,,600,shopify,0,deny,manual,59.99,71.99,TRUE,TRUE,,g,
salted-almond-eclipse-bite-50g,Salted Almond Eclipse Bite (50g),"<p>Handmade &amp; handpackaged in Byron Bay using Organic, Vegan ingredients.</p><p><strong>Ingredients:</strong> Carob Powder*, Cacao Butter*, Medjool Dates*, Almonds*, Celtic Salt. (*=certified organic)</p><p><strong>Origin:</strong> Made in Australia from at least 45% Australian ingredients.</p><p><strong>Allergens:</strong> May contain traces of other nuts &amp; seeds.</p><p><strong>For Best Use:</strong> Store in a cool, dry, dark place between 15 and 22 degrees Celsius.</p>",Maple Moon Carob,"Food, Beverages & Tobacco > Food Items > Snack Foods",Eclipse Bites,"eclipse-bites,organic,vegan,carob",FALSE,Pack Size,1 Bite,,50,shopify,0,deny,manual,5.99,,TRUE,TRUE,,g,draft
salted-almond-eclipse-bite-50g,,,,,,,,,6 Bites,,300,shopify,0,deny,manual,32.99,35.99,TRUE,TRUE,,g,
salted-almond-eclipse-bite-50g,,,,,,,,,12 Bites,,600,shopify,0,deny,manual,59.99,71.99,TRUE,TRUE,,g,
hazelnut-eclipse-bite-50g,Hazelnut Eclipse Bite (50g),"<p>Handmade &amp; handpackaged in Byron Bay using Organic, Vegan ingredients.</p><p><strong>Ingredients:</strong> Carob Powder*, Cacao Butter*, Medjool Dates*, Hazelnuts*. (*=certified organic)</p><p><strong>Origin:</strong> Made in Australia from at least 45% Australian ingredients.</p><p><strong>Allergens:</strong> May contain traces of other nuts &amp; seeds.</p><p><strong>For Best Use:</strong> Store in a cool, dry, dark place between 15 and 22 degrees Celsius.</p>",Maple Moon Carob,"Food, Beverages & Tobacco > Food Items > Snack Foods",Eclipse Bites,"eclipse-bites,organic,vegan,carob",FALSE,Pack Size,1 Bite,,50,shopify,0,deny,manual,5.99,,TRUE,TRUE,,g,draft
hazelnut-eclipse-bite-50g,,,,,,,,,6 Bites,,300,shopify,0,deny,manual,32.99,35.99,TRUE,TRUE,,g,
hazelnut-eclipse-bite-50g,,,,,,,,,12 Bites,,600,shopify,0,deny,manual,59.99,71.99,TRUE,TRUE,,g,
goji-ripe-eclipse-bite-50g,Goji Ripe Eclipse Bite (50g),"<p>Handmade &amp; handpackaged in Byron Bay using Organic, Vegan ingredients.</p><p><strong>Ingredients:</strong> Carob Powder*, Cacao Butter*, Medjool Dates*, Almonds*, Coconut Flakes*, Goji Berries*, Cashews*. (*=certified organic)</p><p><strong>Origin:</strong> Made in Australia from at least 45% Australian ingredients.</p><p><strong>Allergens:</strong> May contain traces of other nuts &amp; seeds.</p><p><strong>For Best Use:</strong> Store in a cool, dry, dark place between 15 and 22 degrees Celsius.</p>",Maple Moon Carob,"Food, Beverages & Tobacco > Food Items > Snack Foods",Eclipse Bites,"eclipse-bites,organic,vegan,carob",FALSE,Pack Size,1 Bite,,50,shopify,0,deny,manual,5.99,,TRUE,TRUE,,g,draft
goji-ripe-eclipse-bite-50g,,,,,,,,,6 Bites,,300,shopify,0,deny,manual,32.99,35.99,TRUE,TRUE,,g,
goji-ripe-eclipse-bite-50g,,,,,,,,,12 Bites,,600,shopify,0,deny,manual,59.99,71.99,TRUE,TRUE,,g,
salted-caramel-fudge-50g,Salted Caramel Fudge (50g),"<p>Handmade &amp; handpackaged in Byron Bay using Organic, Vegan ingredients.</p><p><strong>Ingredients:</strong> Carob Powder*, Cacao Butter*, Medjool Dates*, Almonds*, Coconut Flakes*, Celtic Salt. (*=certified organic)</p><p><strong>Origin:</strong> Made in Australia from at least 45% Australian ingredients.</p><p><strong>Allergens:</strong> May contain traces of other nuts &amp; seeds.</p><p><strong>For Best Use:</strong> Store in a cool, dry, dark place between 15 and 22 degrees Celsius.</p>",Maple Moon Carob,"Food, Beverages & Tobacco > Food Items > Snack Foods",Eclipse Bites,"eclipse-bites,organic,vegan,carob",FALSE,Pack Size,1 Fudge,,50,shopify,0,deny,manual,5.99,,TRUE,TRUE,,g,draft
salted-caramel-fudge-50g,,,,,,,,,6 Fudge,,300,shopify,0,deny,manual,32.99,35.99,TRUE,TRUE,,g,
salted-caramel-fudge-50g,,,,,,,,,12 Fudge,,600,shopify,0,deny,manual,59.99,71.99,TRUE,TRUE,,g,
eclipse-bite-bundle-5-x-50g,Eclipse Bite Bundle (5 x 50g Treats),"<p>Our Eclipse Bite Bundle is the perfect treat for those that desire a healthy, clean creation with no nasties present. Handmade &amp; handpackaged in Byron Bay using Organic, Vegan ingredients.</p><p><strong>This Bundle Includes:</strong></p><ul><li>1 x Pecan Nut Eclipse Bite</li><li>1 x Salted Almond Eclipse Bite</li><li>1 x Hazelnut Eclipse Bite</li><li>1 x Salted Caramel Fudge Slice</li><li>1 x Goji Ripe Eclipse Bite</li></ul><p><strong>Origin:</strong> Made in Australia from at least 45% Australian ingredients.</p><p><strong>Allergens:</strong> May contain traces of other nuts &amp; seeds.</p>",Maple Moon Carob,"Food, Beverages & Tobacco > Food Items > Snack Foods",Eclipse Bites,"eclipse-bites,bundle,organic,vegan,carob",FALSE,Title,Default Title,,250,shopify,0,deny,manual,24.99,,TRUE,TRUE,,g,draft
